Event Type,C2S ID,Source IP,Source Port(s),Destination IP,Destination Port(s),Start Time,Stop Time
scan /usr/bin/nmap,43565,49.232.95.127,55944,172.28.97.169,21 4899,11/3/2009 8:32,11/3/2009 8:32
scan /usr/bin/nmap,43566,219.160.125.33,42311,172.28.74.179,4899,11/3/2009 8:32,11/3/2009 8:32
scan /usr/bin/nmap,43567,211.144.70.97,40510,172.28.154.10,21,11/3/2009 8:33,11/3/2009 8:33
scan /usr/bin/nmap,43568,158.190.85.16,9358,172.28.116.90,80,11/3/2009 8:33,11/3/2009 8:33
scan /usr/bin/nmap,43569,122.201.178.72,40045,172.28.42.98,64142:64353,11/3/2009 8:33,11/3/2009 8:33
ddos,45485,19.202.221.72,0,172.28.4.7,80,11/3/2009 8:33,11/3/2009 8:35
failed attack framework-2.6/msfcli iis_nsiislog_po,43570,24.168.166.204,0,172.28.23.56,80,11/3/2009 8:35,11/3/2009 8:36
ddos,45487,120.5.53.166,0,172.28.4.7,80,11/3/2009 8:35,11/3/2009 8:37
no precursor client compromise exfil/sams_launch_v,43555,172.28.219.190,0,138.106.196.178,80,11/3/2009 8:36,11/3/2009 8:36
no precursor client compromise exfil/sams_launch_v,43556,172.28.219.190,0,28.133.133.90,80,11/3/2009 8:36,11/3/2009 8:36
out2in,45488,255.255.255.255,0,255.255.255.255,80,11/3/2009 8:40,11/3/2009 8:47
compromised_server,45489,172.28.151.53,,255.255.255.255,80,11/3/2009 8:40,11/3/2009 8:47
c2 + tcp control channel exfil - no precursor nc,43557,138.106.196.178,0,172.28.219.190,10000,11/3/2009 8:41,11/3/2009 8:42
compromised_server,45490,172.28.102.68,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45491,172.28.116.175,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45492,172.28.103.126,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45493,172.28.120.57,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45494,172.28.104.143,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45495,172.28.104.200,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45496,172.28.119.228,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
compromised_server,45497,172.28.126.109,,255.255.255.255,80,11/3/2009 8:41,11/3/2009 8:47
no precursor client compromise exfil/sams_launch_v,43558,172.28.14.52,0,198.123.37.66,80,11/3/2009 8:49,11/3/2009 8:49
no precursor client compromise exfil/sams_launch_v,43559,172.28.14.52,0,28.133.133.90,80,11/3/2009 8:49,11/3/2009 8:49
ddos,45498,155.108.237.71,0,172.28.4.7,80,11/3/2009 8:50,11/3/2009 8:55
ddos,45499,218.233.109.140,0,172.28.4.7,80,11/3/2009 8:50,11/3/2009 8:55
c2 + control channel exfil - no precursor nc,43560,198.123.37.66,0,172.28.14.52,10000,11/3/2009 8:52,11/3/2009 8:54
failed attack framework-2.6/msfcli iis_nsiislog_po,43571,24.168.166.204,0,172.28.23.56,80,11/3/2009 8:52,11/3/2009 8:52
failed attack or scan exploit/bin/iis_nsiislog.pl,43561,161.154.58.214,0,255.255.255.255,21,11/3/2009 8:54,11/3/2009 9:10
scan /usr/bin/nmap,43572,42.196.162.102,26707,172.28.79.227,30860,11/3/2009 8:56,11/3/2009 8:56
scan /usr/bin/nmap,43573,193.168.132.153,10468,172.28.147.136,45248,11/3/2009 8:56,11/3/2009 8:56
phishing email exploit/malware/trawler,43590,24.252.33.237,0,172.28.1.5,25,11/3/2009 9:01,11/3/2009 9:01
phishing email exploit/malware/trawler,43591,24.252.33.237,0,172.28.192.5,25,11/3/2009 9:01,11/3/2009 9:01
post-phishing c2 exploit/malware/malclient.pl,43592,172.28.221.155,0,24.252.33.237,80,11/3/2009 9:04,11/3/2009 9:04
post-phishing c2 + tcp control channel exfil explo,43593,172.28.221.155,0,24.252.33.237,80,11/3/2009 9:05,11/3/2009 9:05
post-phishing c2 + tcp control channel exfil explo,43594,172.28.221.155,0,24.252.33.237,80,11/3/2009 9:07,11/3/2009 9:07
post-phishing c2 + tcp control channel exfil explo,43595,172.28.221.155,0,24.252.33.237,80,11/3/2009 9:09,11/3/2009 9:09
router-rewrite /home/administrator/attack-scripts/,43596,255.255.255.255,0,255.255.255.255,0,11/3/2009 9:09,11/3/2009 9:11
failed attack framework-2.6/msfcli cabrightstor_di,43574,35.182.39.183,0,172.28.134.218,41524,11/3/2009 9:14,11/3/2009 9:14
failed attack or scan exploit/bin/iis_nsiislog.pl,43597,183.17.157.196,0,255.255.255.255,21,11/3/2009 9:15,11/3/2009 9:30
no precursor client compromise exfil/sams_launch_v,43598,172.28.2.93,0,34.110.234.33,80,11/3/2009 9:17,11/3/2009 9:17
no precursor client compromise exfil/sams_launch_v,43600,172.28.2.93,0,28.133.133.90,80,11/3/2009 9:17,11/3/2009 9:17
ddos,45500,1.23.177.16,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45501,1.90.252.36,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45502,1.101.50.36,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45503,1.102.195.22,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45504,1.144.159.30,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45505,1.181.20.71,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45506,1.199.49.19,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45507,1.226.12.37,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45508,2.66.18.14,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45509,2.190.156.35,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45510,2.234.50.12,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45511,3.1.141.25,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45512,3.118.53.21,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45513,3.121.212.34,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45514,3.194.221.19,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45515,3.230.71.16,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45516,4.149.26.80,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45517,4.220.7.27,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45518,5.154.248.27,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45519,5.180.127.39,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45520,5.189.157.16,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45521,6.9.39.78,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45522,6.24.147.26,0,172.28.4.7,80,11/3/2009 9:17,11/3/2009 9:19
ddos,45523,6.56.181.16,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45524,6.73.219.34,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45525,6.108.61.62,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45526,6.114.72.11,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45527,6.148.44.38,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45528,6.166.35.36,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45529,6.216.54.23,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45530,6.223.43.24,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45531,6.231.114.20,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45532,7.12.133.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45533,7.64.14.33,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45534,7.122.229.21,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45535,7.139.86.72,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45536,8.35.39.15,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45537,8.47.167.19,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45538,8.70.145.44,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45539,8.141.153.31,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45540,8.157.132.13,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45541,8.178.210.61,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45542,8.179.82.34,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45543,8.199.76.40,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45544,8.208.147.15,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45545,9.81.41.34,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45546,9.88.143.31,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45547,9.182.182.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45548,9.196.194.32,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45549,9.248.204.55,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45550,11.6.70.13,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:19
ddos,45551,11.88.142.12,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45552,11.134.54.38,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45553,11.202.138.30,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45554,11.220.46.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45555,11.239.103.20,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45556,11.247.62.26,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45557,12.1.248.28,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45558,12.12.84.37,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45559,12.17.231.15,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45560,12.27.5.69,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45561,14.51.154.31,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45562,14.52.155.19,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45563,14.81.203.35,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45564,14.90.67.18,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45565,14.105.10.36,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45566,14.115.75.28,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45567,14.221.228.15,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45568,15.56.132.39,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45569,15.149.56.11,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45570,15.174.249.16,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45571,15.178.251.26,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45572,15.184.166.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45573,15.185.49.16,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45574,15.231.243.19,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45575,16.5.197.28,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45576,16.16.174.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45577,16.19.124.18,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45578,16.98.115.22,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45579,16.141.168.14,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45580,16.161.221.15,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45581,16.199.43.11,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
ddos,45582,16.225.81.18,0,172.28.4.7,80,11/3/2009 9:18,11/3/2009 9:20
c2 + control channel exfil - no precursor nc,43602,34.110.234.33,0,172.28.2.93,10000,11/3/2009 9:19,11/3/2009 9:23
ddos,45583,16.231.228.19,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45584,16.244.78.44,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45585,17.59.230.16,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45586,17.73.109.30,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45587,17.163.65.12,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45588,17.202.87.37,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45589,17.241.216.32,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45590,17.246.169.62,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45591,18.177.218.56,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45592,19.14.122.18,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45593,19.16.150.31,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45594,19.202.221.20,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45595,19.214.138.15,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45596,20.17.228.67,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45597,20.18.5.11,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45598,20.21.128.24,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
ddos,45599,20.38.7.15,0,172.28.4.7,80,11/3/2009 9:19,11/3/2009 9:20
failed attack framework-2.6/msfcli cabrightstor_di,43575,79.239.45.99,0,172.28.194.88,41524,11/3/2009 9:20,11/3/2009 9:20
phishing email exploit/malware/trawler,43599,23.3.252.153,0,172.28.1.5,25,11/3/2009 9:20,11/3/2009 9:20
phishing email exploit/malware/trawler,43601,23.3.252.153,0,172.28.128.5,25,11/3/2009 9:20,11/3/2009 9:20
phishing email exploit/malware/trawler,43606,130.236.192.227,0,172.28.1.5,25,11/3/2009 9:21,11/3/2009 9:21
phishing email exploit/malware/trawler,43607,130.236.192.227,0,172.28.192.5,25,11/3/2009 9:21,11/3/2009 9:21
failed attack framework-2.6/msfcli cabrightstor_di,43576,35.182.39.183,0,172.28.134.218,41524,11/3/2009 9:22,11/3/2009 9:22
post-phishing c2 heartbeat exploit/malware/malclie,43603,172.28.136.45,0,23.3.252.153,80,11/3/2009 9:22,11/3/2009 9:22
post-phishing c2 exploit/malware/malclient.pl,43604,172.28.136.45,0,23.3.252.153,80,11/3/2009 9:24,11/3/2009 9:24
spambot client compromise,45600,201.89.32.16,80,172.28.128.124,38945,11/3/2009 9:24,11/3/2009 9:24
spambot malicious download,45601,68.91.226.37,80,172.28.128.124,53765,11/3/2009 9:24,11/3/2009 9:40
spambot client compromise,45602,201.89.32.16,80,172.28.14.161,35155,11/3/2009 9:24,11/3/2009 9:24
spam bot,45603,172.28.128.124,0,77.91.104.22,80,11/3/2009 9:24,11/3/2009 9:24
spambot malicious download,45604,68.91.226.37,80,172.28.14.161,45997,11/3/2009 9:24,11/3/2009 9:40
spambot client compromise,45605,201.89.32.16,80,172.28.197.120,46014,11/3/2009 9:24,11/3/2009 9:24
spam bot,45606,172.28.128.124,0,66.200.1.1,25,11/3/2009 9:25,11/3/2009 9:40
spam bot,45607,172.28.128.124,0,64.180.1.1,25,11/3/2009 9:25,11/3/2009 9:40
spam bot,45608,172.28.128.124,0,24.145.1.1,25,11/3/2009 9:25,11/3/2009 9:40
spam bot,45609,172.28.128.124,0,70.98.1.1,25,11/3/2009 9:25,11/3/2009 9:40
spambot client compromise,45610,201.89.32.16,80,172.28.213.189,52241,11/3/2009 9:25,11/3/2009 9:25
spambot malicious download,45611,68.91.226.37,80,172.28.197.120,56258,11/3/2009 9:25,11/3/2009 9:40
spam bot,45612,172.28.14.161,0,77.91.104.22,80,11/3/2009 9:25,11/3/2009 9:25
spambot malicious download,45613,68.91.226.37,80,172.28.213.189,53104,11/3/2009 9:25,11/3/2009 9:40
spam bot,45614,172.28.197.120,0,77.91.104.22,80,11/3/2009 9:25,11/3/2009 9:25
spam bot,45615,172.28.14.161,0,66.200.1.1,25,11/3/2009 9:25,11/3/2009 9:28
spam bot,45616,172.28.14.161,0,64.180.1.1,25,11/3/2009 9:25,11/3/2009 9:28
spam bot,45617,172.28.14.161,0,24.145.1.1,25,11/3/2009 9:25,11/3/2009 9:28
spam bot,45618,172.28.14.161,0,70.98.1.1,25,11/3/2009 9:25,11/3/2009 9:28
spam bot,45619,172.28.213.189,0,77.91.104.22,80,11/3/2009 9:25,11/3/2009 9:25
spambot client compromise,45620,201.89.32.16,80,172.28.214.102,53039,11/3/2009 9:25,11/3/2009 9:25
spambot malicious download,45625,68.91.226.37,80,172.28.214.102,46845,11/3/2009 9:25,11/3/2009 9:41
spambot client compromise,45626,201.89.32.16,80,172.28.23.163,50699,11/3/2009 9:25,11/3/2009 9:25
spambot malicious download,45631,68.91.226.37,80,172.28.23.163,54545,11/3/2009 9:25,11/3/2009 9:41
spambot client compromise,45632,201.89.32.16,80,172.28.3.121,60905,11/3/2009 9:25,11/3/2009 9:25
spam bot,45633,172.28.214.102,0,77.91.104.22,80,11/3/2009 9:25,11/3/2009 9:25
spambot malicious download,45634,68.91.226.37,80,172.28.3.121,35957,11/3/2009 9:25,11/3/2009 9:41
spam bot,45635,172.28.23.163,0,77.91.104.22,80,11/3/2009 9:25,11/3/2009 9:25
scan /usr/bin/nmap,43577,195.171.85.28,0,172.28.18.197,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43578,195.171.85.28,0,172.28.18.147,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43579,195.171.85.28,0,172.28.18.241,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43580,195.171.85.28,0,172.28.18.83,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43581,195.171.85.28,0,172.28.18.213,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43582,195.171.85.28,0,172.28.18.146,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43583,195.171.85.28,0,172.28.18.111,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43584,195.171.85.28,0,172.28.18.68,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43585,195.171.85.28,0,172.28.18.41,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43586,195.171.85.28,0,172.28.18.59,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43587,195.171.85.28,0,172.28.18.98,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43588,195.171.85.28,0,172.28.18.174,1257 3128,11/3/2009 9:26,11/3/2009 9:26
scan /usr/bin/nmap,43589,195.171.85.28,0,172.28.18.18,1257 3128,11/3/2009 9:26,11/3/2009 9:26
post-phishing client compromise + malicious downlo,43608,172.28.192.134,0,130.236.192.227,80,11/3/2009 9:26,11/3/2009 9:26
post-phishing client compromise + malicious downlo,43609,172.28.192.134,0,28.133.133.90,80,11/3/2009 9:26,11/3/2009 9:26
spam bot,45640,172.28.3.121,0,77.91.104.22,80,11/3/2009 9:26,11/3/2009 9:26
phishing email exploit/malware/trawler,43611,138.106.196.169,0,172.28.1.5,25,11/3/2009 9:27,11/3/2009 9:27
post-phishing c2 + tcp control channel exfil nc,43610,130.236.192.227,0,172.28.192.134,10000,11/3/2009 9:28,11/3/2009 9:28
post-phishing c2 heartbeat exploit/malware/malclie,43612,172.28.29.14,0,138.106.196.169,80,11/3/2009 9:29,11/3/2009 9:29
no precursor client compromise exfil/sams_launch_v,43616,172.28.218.164,0,86.136.211.111,80,11/3/2009 9:30,11/3/2009 9:30
no precursor client compromise exfil/sams_launch_v,43617,172.28.218.164,0,28.133.133.90,80,11/3/2009 9:30,11/3/2009 9:30
post-phishing c2 exploit/malware/malclient.pl,43613,172.28.29.14,0,138.106.196.169,80,11/3/2009 9:31,11/3/2009 9:31
ddos,45649,1.23.177.16,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45650,1.90.252.36,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45651,1.101.50.36,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45652,1.102.195.22,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45653,1.144.159.30,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45654,1.181.20.71,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45655,1.199.49.19,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45656,1.226.12.37,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45657,2.66.18.14,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45658,2.190.156.35,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45659,2.234.50.12,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45660,3.1.141.25,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45661,3.118.53.21,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45662,3.121.212.34,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45663,3.194.221.19,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45664,3.230.71.16,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45665,4.149.26.80,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45666,4.220.7.27,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45667,5.154.248.27,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45668,5.180.127.39,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45669,5.189.157.16,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45670,6.9.39.78,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45671,6.24.147.26,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45672,6.56.181.16,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:32
ddos,45673,6.73.219.34,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45674,6.108.61.62,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45675,6.114.72.11,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45676,6.148.44.38,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45677,6.166.35.36,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45678,6.216.54.23,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45679,6.223.43.24,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45680,6.231.114.20,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45681,7.12.133.14,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45682,7.64.14.33,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45683,7.122.229.21,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45684,7.139.86.72,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45685,8.35.39.15,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45686,8.47.167.19,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45687,8.70.145.44,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45688,8.141.153.31,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45689,8.157.132.13,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
ddos,45690,8.178.210.61,0,172.28.4.7,80,11/3/2009 9:31,11/3/2009 9:33
